hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric,estimated_current_cost,expected_value_2027,img_path
2021-Tacoma-SR-SR 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),20775,22,5688,66874,2021,Toyota,Tacoma,,SR,SR,SR 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),25185,23612,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20775,SR 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,13096.2,10766.5875,
2023-Corolla-LE Eco w/Premium Package-LE Eco w/Premium Package 4dr Sedan (1.8L 4cyl CVT),14940,22,3917,70082,2023,Toyota,Corolla,,LE Eco,LE Eco,LE Eco w/Premium Package 4dr Sedan (1.8L 4cyl CVT),21400,19798,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14940,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2850.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,30,40,396,528,,,,,,,,15408.0,11128.0,
2024-Corolla-L-L 4dr Sedan (1.8L 4cyl CVT),11870,22,3917,71792,2024,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl CVT),18700,17673,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11870,L 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2840.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,28,36,370,475,,,,,,,,15708.0,11407.0,
2022-Tacoma-SR-SR 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),17992,22,5688,68478,2022,Toyota,Tacoma,,SR,SR,SR 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),26100,24470,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17992,SR 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,15921.0,11745.0,
2021-Tacoma-TRD Sport-TRD Sport 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),33310,31230,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,17321.2,14240.025,
2023-4Runner-SR5 Premium-SR5 Premium 4dr SUV (4.0L 6cyl 5A),14911,22,4841,70100,2023,Toyota,4Runner,,SR5 Premium,SR5 Premium,SR5 Premium 4dr SUV (4.0L 6cyl 5A),36640,33709,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14911,SR5 Premium 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,26380.8,19052.8,
2021-Tacoma-SR-SR 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),20775,22,5688,66874,2021,Toyota,Tacoma,,SR,SR,SR 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),29275,27121,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20775,SR 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,15223.0,12515.0625,
2022-4Runner-TRD PRO-TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),17885,22,4841,68451,2022,Toyota,4Runner,,TRD Pro,TRD PRO,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),42400,39009,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17885,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,72.0,109.8,,,9.6,47.2,89.7,4750.0,6300.0,1550.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,20,391,460,,,,,,,,25864.0,19080.0,
2021-Tacoma-TRD Sport-TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),30025,28149,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,15613.0,12835.6875,
2025-Camry-SE-SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),8874,22,4779,73501,2025,Toyota,Camry,,Hybrid SE,SE,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),30130,27720,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8874,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3549.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,46,44,47,581,620,,,,,,,,30130.0,21693.6,
2020-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 6A),23521,22,4779,65276,2020,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 6A),31370,28546,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23521,XLE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,,15.4,,3340.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,28,25,35,425,595,,,,,,,,14116.5,12861.699999999999,
2020-Corolla-LE-LE 4dr Sedan (1.8L 4cyl CVT),23528,22,3917,65279,2020,Toyota,Corolla,,LE,LE,LE 4dr Sedan (1.8L 4cyl CVT),18565,17189,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23528,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,,8354.25,7611.65,
2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),23525,22,4779,65273,2020,Toyota,Camry,,Hybrid XLE,XLE,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),29980,27583,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23525,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,,13.1,,3585.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,40,40,38,680,646,,,,,,,,13491.0,12291.8,
2023-Corolla-LE Eco w/Premium Package-LE Eco w/Premium Package 4dr Sedan (1.8L 4cyl CVT),14940,22,3917,70082,2023,Toyota,Corolla,,LE Eco,LE Eco,LE Eco w/Premium Package 4dr Sedan (1.8L 4cyl CVT),21400,19798,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14940,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2850.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,30,40,396,528,,,,,,,,15408.0,11128.0,
2023-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 8A),14929,22,4779,70078,2023,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 8A),34550,31441,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14929,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,,24876.0,17966.0,
2022-Tacoma-TRD Sport-TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),18000,22,5688,68482,2022,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),35770,33140,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18000,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1540.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,21819.7,16096.5,
2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl 6A),23517,22,4779,65274,2020,Toyota,Camry,,LE,LE,LE 4dr Sedan (2.5L 4cyl 6A),22970,21017,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23517,LE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,,15.4,,3240.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,28,25,35,425,595,,,,,,,,10336.5,9417.699999999999,
