hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric,estimated_current_cost,expected_value_2027,img_path
2025-Camry-SE-SE 4dr Sedan (2.5L 4cyl 8A),8862,22,4779,73505,2025,Toyota,Camry,,SE,SE,SE 4dr Sedan (2.5L 4cyl 8A),26170,23815,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8862,SE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,,26170.0,18842.399999999998,
2025-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 8A),8869,22,4779,73509,2025,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 8A),30005,27304,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8869,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,,30005.0,21603.6,
2020-Tacoma-Base-4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),23600,22,5688,65309,2020,Toyota,Tacoma,,Base,Base,4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),24800,23250,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23600,4dr Access Cab 6.1 ft. SB (2.7L 4cyl 5M),Truck (Access Cab),4,208.1,72.2,4,66.1,127.4,,,8.1,,,3615.0,4900.0,1285.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed manual,21.1,22,21,25,443,528,,,,,,,,11160.0,10168.0,
2022-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),18003,22,5688,68480,2022,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),32195,29827,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18003,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,23,380,485,,,,,,,,19638.95,14487.75,
2023-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),14965,22,3200,70086,2023,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),84565,75685,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14965,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,78.0,8,74.0,112.2,,,8.9,16.1,81.7,5815.0,7385.0,1570.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,,60886.799999999996,43973.8,
2021-Tacoma-SR5-SR5 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),20778,22,5688,66875,2021,Toyota,Tacoma,,SR5,SR5,SR5 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),31920,29571,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20778,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,16598.4,13645.8,
2022-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),17933,22,3200,68437,2022,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),84775,75875,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17933,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,77.6,8,74.0,112.2,,,8.9,16.1,81.7,5765.0,7275.0,1510.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,,51712.75,38148.75,
2025-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 8A),8866,22,4779,73508,2025,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (2.5L 4cyl 8A),29455,26804,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8866,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,,29455.0,21207.6,
2024-Corolla-SE-SE 4dr Sedan (1.8L 4cyl 6M),11871,22,3917,71795,2024,Toyota,Corolla,,SE,SE,SE 4dr Sedan (1.8L 4cyl 6M),21865,20245,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11871,SE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2885.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,31,28,35,370,462,,,,,,,,18366.6,13337.65,
2021-Tacoma-TRD Sport-TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6M),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6M),32460,30073,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,16879.2,13876.65,
2024-4Runner-TRD OFF-ROAD-TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),11843,22,4841,71812,2024,Toyota,4Runner,,TRD Off-Road,TRD OFF-ROAD,TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),38485,35405,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11843,TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,47.2,89.7,4750.0,6300.0,1550.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,20,391,460,,,,,,,,32327.399999999998,23475.85,
2023-4Runner-TRD OFF-ROAD Premium-TRD OFF-ROAD Premium 4dr SUV 4WD (4.0L 6cyl 5A),14914,22,4841,70102,2023,Toyota,4Runner,,TRD Off-Road Premium,TRD OFF-ROAD Premium,TRD OFF-ROAD Premium 4dr SUV 4WD (4.0L 6cyl 5A),39895,36702,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14914,TRD OFF-ROAD Premium 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,47.2,89.7,4750.0,6300.0,1550.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,20,391,460,,,,,,,,28724.399999999998,20745.4,
2020-4Runner-SR5-SR5 4dr SUV 4WD (4.0L 6cyl 5A),23500,22,4841,65293,2020,Toyota,4Runner,,SR5,SR5,SR5 4dr SUV 4WD (4.0L 6cyl 5A),35085,32279,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,,15788.25,14384.849999999999,
2022-Tacoma-TRD Sport-TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),18000,22,5688,68482,2022,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),35770,33140,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18000,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1540.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,21819.7,16096.5,
2025-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 8A),8866,22,4779,73508,2025,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 8A),34580,31469,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8866,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,,34580.0,24897.6,
2022-Tacoma-TRD PRO-TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),18022,22,5688,68481,2022,Toyota,Tacoma,,TRD Pro,TRD PRO,TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),41215,38180,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18022,TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),Truck (Double Cab),4,212.3,75.2,5,71.6,127.4,,,9.4,,,4445.0,5600.0,1155.0,6400.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual,21.1,18,17,20,359,422,,,,,,,,25141.149999999998,18546.75,
2022-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 6A),17898,22,4779,68429,2022,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 6A),26310,23943,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17898,XSE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,15.4,,3350.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,27,24,33,408,561,,,,,,,,16049.1,11839.5,
2023-4Runner-TRD OFF-ROAD-TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),14913,22,4841,70101,2023,Toyota,4Runner,,TRD Off-Road,TRD OFF-ROAD,TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),37985,34946,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14913,TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,47.2,89.7,4750.0,6300.0,1550.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,20,391,460,,,,,,,,27349.2,19752.2,
2025-4Runner-TRD OFF-ROAD-TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),8843,22,4841,73537,2025,Toyota,4Runner,,TRD Off-Road,TRD OFF-ROAD,TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),39740,36544,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8843,TRD OFF-ROAD 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,47.2,89.7,4750.0,6300.0,1550.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,20,391,460,,,,,,,,39740.0,28612.8,
2025-Camry-LE-LE 4dr Sedan AWD (2.5L 4cyl 8A),8860,22,4779,73504,2025,Toyota,Camry,,LE,LE,LE 4dr Sedan AWD (2.5L 4cyl 8A),26370,24129,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8860,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,,26370.0,18986.399999999998,
2020-Tacoma-V6-V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),23600,22,5688,65309,2020,Toyota,Tacoma,,Base,Base,V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),28235,26157,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23600,4dr Access Cab 6.1 ft. SB (2.7L 4cyl 5M),Truck (Access Cab),4,208.1,72.2,4,66.1,127.4,,,8.1,,,3615.0,4900.0,1285.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed manual,21.1,22,21,25,443,528,,,,,,,,12705.75,11576.349999999999,
2021-Tacoma-TRD Sport-TRD Sport 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),31125,28837,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,16185.0,13305.9375,
2021-Tacoma-TRD Sport-TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),34700,32149,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,18044.0,14834.25,
2021-Camry-LE-LE 4dr Sedan (2.5L 4cyl 6A),20686,22,4779,66832,2021,Toyota,Camry,,LE,LE,LE 4dr Sedan (2.5L 4cyl 6A),23070,21109,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20686,LE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,15.4,,3240.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,28,25,35,425,595,,,,,,,,11996.4,9862.425,
2021-Tacoma-SR5-SR5 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),20778,22,5688,66875,2021,Toyota,Tacoma,,SR5,SR5,SR5 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),30530,28622,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20778,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,15875.6,13051.574999999999,
2023-Tacoma-SR5-SR5 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),15030,22,5688,70135,2023,Toyota,Tacoma,,SR5,SR5,SR5 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),34540,31981,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15030,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,20,23,422,485,,,,,,,,24868.8,17960.8,
2025-Corolla-XSE-XSE 4dr Sedan (2.0L 4cyl CVT),8885,22,3917,73516,2025,Toyota,Corolla,,XSE,XSE,XSE 4dr Sedan (2.0L 4cyl CVT),25550,23657,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8885,XSE 4dr Sedan (2.0L 4cyl CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,3150.0,,,,gas,regular unleaded,I4,2.0,169,6600,151.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,31,38,409,502,,,,,,,,25550.0,18396.0,
2022-Tacoma-SR5-SR5 4dr Double Cab 5.0 ft. SB (2.7L 4cyl 6A),17996,22,5688,68479,2022,Toyota,Tacoma,,SR5,SR5,SR5 4dr Double Cab 5.0 ft. SB (2.7L 4cyl 6A),27550,25545,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17996,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,16805.5,12397.5,
2021-Corolla-LE Eco-LE Eco 4dr Sedan (1.8L 4cyl CVT),20699,22,3917,66839,2021,Toyota,Corolla,,LE Eco,LE Eco,LE Eco 4dr Sedan (1.8L 4cyl CVT),19135,17717,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20699,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,,9950.2,8180.2125,
2025-Corolla-SE-SE 4dr Hatchback (2.0L 4cyl 6M),8881,22,3917,73513,2025,Toyota,Corolla,,SE,SE,SE 4dr Hatchback (2.0L 4cyl 6M),20290,18786,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8881,SE 4dr Sedan (2.0L 4cyl CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,3110.0,,,,gas,regular unleaded,I4,2.0,169,6600,151.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,31,40,409,528,,,,,,,,20290.0,14608.8,
2025-Corolla-SE-SE 4dr Hatchback (2.0L 4cyl CVT),8881,22,3917,73513,2025,Toyota,Corolla,,SE,SE,SE 4dr Hatchback (2.0L 4cyl CVT),21390,19806,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8881,SE 4dr Sedan (2.0L 4cyl CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,3110.0,,,,gas,regular unleaded,I4,2.0,169,6600,151.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,31,40,409,528,,,,,,,,21390.0,15400.8,
2020-Tacoma-TRD PRO-TRD PRO V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),23608,22,5688,65311,2020,Toyota,Tacoma,,TRD Pro,TRD PRO,TRD PRO V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 5A),37615,34846,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23608,TRD PRO V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M),Truck (Access Cab),4,208.1,74.6,4,72.1,127.4,,,9.3,,,4105.0,5500.0,1395.0,6500.0,gas,regular unleaded,V6,4.0,236,5200,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual,21.1,17,15,19,317,401,,,,,,,,16926.75,15422.15,
2020-Tacoma-PreRunner V6-PreRunner V6 4dr Double Cab 5.0 ft. SB (4.0L 6cyl 5A),23604,22,5688,65310,2020,Toyota,Tacoma,,Pre Runner,PreRunner,PreRunner V6 4dr Double Cab 5.0 ft. SB (4.0L 6cyl 5A),25060,23216,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23604,PreRunner 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 4A),Truck (Access Cab),4,208.1,74.6,4,70.3,127.4,,,9.3,,,3810.0,5250.0,1440.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,4-speed automatic,21.1,21,19,24,401,506,,,,,,,,11277.0,10274.599999999999,
2020-Corolla-LE Eco-LE Eco 4dr Sedan (1.8L 4cyl CVT),23529,22,3917,65280,2020,Toyota,Corolla,,LE Eco,LE Eco,LE Eco 4dr Sedan (1.8L 4cyl CVT),18965,17559,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23529,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,,8534.25,7775.65,
2025-4Runner-SR5 Premium-SR5 Premium 4dr SUV 4WD (4.0L 6cyl 5A),8841,22,4841,73536,2025,Toyota,4Runner,,SR5 Premium,SR5 Premium,SR5 Premium 4dr SUV 4WD (4.0L 6cyl 5A),41090,37802,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8841,SR5 Premium 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,41090.0,29584.8,
2022-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),18003,22,5688,68480,2022,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),32195,29827,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18003,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,23,380,485,,,,,,,,19638.95,14487.75,
2023-Tacoma-TRD PRO-TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),15056,22,5688,70137,2023,Toyota,Tacoma,,TRD Pro,TRD PRO,TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),41720,38663,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15056,TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),Truck (Double Cab),4,212.3,75.2,5,71.6,127.4,,,9.4,,,4445.0,5600.0,1155.0,6400.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual,21.1,18,17,21,359,443,,,,,,,,30038.399999999998,21694.4,
2023-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 8A),14931,22,4779,70079,2023,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 8A),29150,26527,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14931,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,,20988.0,15158.0,
2021-4Runner-TRD PRO-TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),20677,22,4841,66855,2021,Toyota,4Runner,,TRD Pro,TRD PRO,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),41850,38502,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20677,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,46.3,88.8,4750.0,6300.0,1550.0,4900.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,21762.0,17890.875,
