hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric
2015-Corolla-LE Plus-LE Plus 4dr Sedan (1.8L 4cyl CVT),23528,22,3917,65279,2015,Toyota,Corolla,,LE,LE,LE Plus 4dr Sedan (1.8L 4cyl CVT),18965,17559,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23528,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,
2015-Corolla-LE Premium-LE Premium 4dr Sedan (1.8L 4cyl CVT),23528,22,3917,65279,2015,Toyota,Corolla,,LE,LE,LE Premium 4dr Sedan (1.8L 4cyl CVT),22025,20393,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23528,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,
2015-Corolla-LE Eco-LE Eco 4dr Sedan (1.8L 4cyl CVT),23529,22,3917,65280,2015,Toyota,Corolla,,LE Eco,LE Eco,LE Eco 4dr Sedan (1.8L 4cyl CVT),18965,17559,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23529,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,
2015-Corolla-LE Eco Plus-LE Eco Plus 4dr Sedan (1.8L 4cyl CVT),23529,22,3917,65280,2015,Toyota,Corolla,,LE Eco,LE Eco,LE Eco Plus 4dr Sedan (1.8L 4cyl CVT),19665,18208,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23529,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,
2015-Corolla-LE Eco Premium-LE Eco Premium 4dr Sedan (1.8L 4cyl CVT),23529,22,3917,65280,2015,Toyota,Corolla,,LE Eco,LE Eco,LE Eco Premium 4dr Sedan (1.8L 4cyl CVT),22725,21043,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23529,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,
2015-Corolla-S-S 4dr Sedan (1.8L 4cyl CVT),23531,22,3917,65281,2015,Toyota,Corolla,,S,S,S 4dr Sedan (1.8L 4cyl CVT),19195,17773,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23531,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2015-Corolla-S Plus-S Plus 4dr Sedan (1.8L 4cyl CVT),23531,22,3917,65281,2015,Toyota,Corolla,,S,S,S Plus 4dr Sedan (1.8L 4cyl CVT),19895,18421,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23531,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2015-Corolla-S Plus-S Plus 4dr Sedan (1.8L 4cyl 6M),23531,22,3917,65281,2015,Toyota,Corolla,,S,S,S Plus 4dr Sedan (1.8L 4cyl 6M),21495,19902,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23531,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2015-Corolla-S Premium-S Premium 4dr Sedan (1.8L 4cyl CVT),23531,22,3917,65281,2015,Toyota,Corolla,,S,S,S Premium 4dr Sedan (1.8L 4cyl CVT),22955,21255,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23531,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2016-Corolla-L-L 4dr Sedan (1.8L 4cyl 6M),20696,22,3917,66837,2016,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl 6M),17300,16349,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20696,L 4dr Sedan (1.8L 4cyl 6M),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2800.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,13.2,31,28,37,370,488,,,,,,,
2016-Corolla-L-L 4dr Sedan (1.8L 4cyl 4A),20696,22,3917,66837,2016,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl 4A),17900,16916,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20696,L 4dr Sedan (1.8L 4cyl 6M),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2800.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,13.2,31,28,37,370,488,,,,,,,
2016-Corolla-LE-LE 4dr Sedan (1.8L 4cyl CVT),20698,22,3917,66838,2016,Toyota,Corolla,,LE,LE,LE 4dr Sedan (1.8L 4cyl CVT),18735,17347,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20698,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,
2016-Corolla-LE Plus-LE Plus 4dr Sedan (1.8L 4cyl CVT),20698,22,3917,66838,2016,Toyota,Corolla,,LE,LE,LE Plus 4dr Sedan (1.8L 4cyl CVT),19135,17717,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20698,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,
2016-Corolla-LE Premium-LE Premium 4dr Sedan (1.8L 4cyl CVT),20698,22,3917,66838,2016,Toyota,Corolla,,LE,LE,LE Premium 4dr Sedan (1.8L 4cyl CVT),22195,20550,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20698,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,
2016-Corolla-LE Eco-LE Eco 4dr Sedan (1.8L 4cyl CVT),20699,22,3917,66839,2016,Toyota,Corolla,,LE Eco,LE Eco,LE Eco 4dr Sedan (1.8L 4cyl CVT),19135,17717,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20699,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,
2016-Corolla-LE Eco Plus-LE Eco Plus 4dr Sedan (1.8L 4cyl CVT),20699,22,3917,66839,2016,Toyota,Corolla,,LE Eco,LE Eco,LE Eco Plus 4dr Sedan (1.8L 4cyl CVT),19835,18365,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20699,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,
2016-Corolla-LE Eco Premium-LE Eco Premium 4dr Sedan (1.8L 4cyl CVT),20699,22,3917,66839,2016,Toyota,Corolla,,LE Eco,LE Eco,LE Eco Premium 4dr Sedan (1.8L 4cyl CVT),22895,21199,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20699,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,35,30,42,396,554,,,,,,,
2016-Corolla-S-S 4dr Sedan (1.8L 4cyl CVT),20701,22,3917,66840,2016,Toyota,Corolla,,S,S,S 4dr Sedan (1.8L 4cyl CVT),19365,17930,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20701,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.5,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
