hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric
2018-Camry-L-L 4dr Sedan (2.5L 4cyl 8A),14926,22,4779,70075,2018,Toyota,Camry,,L,L,L 4dr Sedan (2.5L 4cyl 8A),23645,21635,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14926,L 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,14.1,14.1,3241.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,14.5,34,29,41,421,595,,,,,,,
2018-Camry-LE-LE 4dr Sedan (2.5L 4cyl 8A),14927,22,4779,70076,2018,Toyota,Camry,,LE,LE,LE 4dr Sedan (2.5L 4cyl 8A),24150,22098,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14927,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2018-Camry-SE-SE 4dr Sedan (2.5L 4cyl 8A),14928,22,4779,70077,2018,Toyota,Camry,,SE,SE,SE 4dr Sedan (2.5L 4cyl 8A),25350,23069,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14928,SE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2018-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 8A),14929,22,4779,70078,2018,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (2.5L 4cyl 8A),28600,26026,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14929,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2018-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 8A),14929,22,4779,70078,2018,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 8A),34550,31441,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14929,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2018-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 8A),14931,22,4779,70079,2018,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 8A),29150,26527,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14931,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2018-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 8A),14931,22,4779,70079,2018,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 8A),35100,31942,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14931,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2019-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),11864,22,4779,71784,2019,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),28400,26128,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11864,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3472.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.0,52,51,53,663,689,,,,,,,
2019-Camry-SE-SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),11865,22,4779,71785,2019,Toyota,Camry,,Hybrid SE,SE,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),30100,27693,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11865,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3549.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.0,46,44,47,572,611,,,,,,,
2019-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),11866,22,4779,71786,2019,Toyota,Camry,,Hybrid XLE,XLE,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),32975,30338,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11866,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3571.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.0,46,44,47,572,611,,,,,,,
2019-Camry-L-L 4dr Sedan (2.5L 4cyl 8A),11857,22,4779,71787,2019,Toyota,Camry,,L,L,L 4dr Sedan (2.5L 4cyl 8A),24095,22046,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11857,L 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,14.1,14.1,3241.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,14.5,34,29,41,421,595,,,,,,,
2019-Camry-LE-LE 4dr Sedan (2.5L 4cyl 8A),11858,22,4779,71788,2019,Toyota,Camry,,LE,LE,LE 4dr Sedan (2.5L 4cyl 8A),24600,22509,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11858,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2019-Camry-SE-SE 4dr Sedan (2.5L 4cyl 8A),11859,22,4779,71789,2019,Toyota,Camry,,SE,SE,SE 4dr Sedan (2.5L 4cyl 8A),25800,23478,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11859,SE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2019-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 8A),11860,22,4779,71790,2019,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (2.5L 4cyl 8A),29175,26551,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11860,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2019-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 8A),11860,22,4779,71790,2019,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 8A),34300,31214,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11860,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2019-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 8A),11862,22,4779,71791,2019,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 8A),29725,27051,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11862,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2019-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 8A),11862,22,4779,71791,2019,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 8A),34850,31714,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11862,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,
2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),8873,22,4779,73500,2020,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),28430,26155,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8873,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3472.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,52,51,53,673,700,,,,,,,
2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),8874,22,4779,73501,2020,Toyota,Camry,,Hybrid SE,SE,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),30130,27720,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8874,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3549.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,46,44,47,581,620,,,,,,,
2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),8875,22,4779,73502,2020,Toyota,Camry,,Hybrid XLE,XLE,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),32730,30112,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8875,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3572.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,46,44,47,581,620,,,,,,,
2020-Camry-L-L 4dr Sedan (2.5L 4cyl 8A),8859,22,4779,73503,2020,Toyota,Camry,,L,L,L 4dr Sedan (2.5L 4cyl 8A),24425,22349,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8859,L 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,14.1,14.1,3241.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,14.5,34,29,41,421,595,,,,,,,
2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl 8A),8860,22,4779,73504,2020,Toyota,Camry,,LE,LE,LE 4dr Sedan (2.5L 4cyl 8A),24970,22848,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8860,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,
2020-Camry-LE-LE 4dr Sedan AWD (2.5L 4cyl 8A),8860,22,4779,73504,2020,Toyota,Camry,,LE,LE,LE 4dr Sedan AWD (2.5L 4cyl 8A),26370,24129,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8860,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,
2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl 8A),8862,22,4779,73505,2020,Toyota,Camry,,SE,SE,SE 4dr Sedan (2.5L 4cyl 8A),26170,23815,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8862,SE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,
2020-Camry-SE-SE 4dr Sedan AWD (2.5L 4cyl 8A),8862,22,4779,73505,2020,Toyota,Camry,,SE,SE,SE 4dr Sedan AWD (2.5L 4cyl 8A),27570,25089,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8862,SE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,
2020-Camry-SE Nightshade Edition-SE Nightshade Edition 4dr Sedan (2.5L 4cyl 8A),8864,22,4779,73506,2020,Toyota,Camry,,SE Nightshade,SE Nightshade Edition,SE Nightshade Edition 4dr Sedan (2.5L 4cyl 8A),26870,24451,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8864,SE Nightshade Edition 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,
2020-Camry-SE Nightshade Edition-SE Nightshade Edition 4dr Sedan AWD (2.5L 4cyl 8A),8864,22,4779,73506,2020,Toyota,Camry,,SE Nightshade,SE Nightshade Edition,SE Nightshade Edition 4dr Sedan AWD (2.5L 4cyl 8A),28270,25724,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8864,SE Nightshade Edition 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3340.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,
2020-Camry-TRD-TRD 4dr Sedan (3.5L 6cyl 8A),8872,22,4779,73507,2020,Toyota,Camry,,TRD,TRD,TRD 4dr Sedan (3.5L 6cyl 8A),31170,28366,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8872,TRD 4dr Sedan (3.5L 6cyl 8A),Sedan,4,194.6,73.1,5,56.3,111.2,,,5.7,15.1,15.1,3572.0,,,,gas,regular unleaded,V6,3.5,301,6600,267.0,4700.0,24,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,25,22,31,348,490,,,,,,,
2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 8A),8866,22,4779,73508,2020,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (2.5L 4cyl 8A),29455,26804,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8866,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,
2020-Camry-XLE-XLE 4dr Sedan AWD (2.5L 4cyl 8A),8866,22,4779,73508,2020,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan AWD (2.5L 4cyl 8A),30855,28078,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8866,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,
2020-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 8A),8866,22,4779,73508,2020,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 8A),34580,31469,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8866,XLE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3351.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,
2020-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 8A),8869,22,4779,73509,2020,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 8A),30005,27304,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8869,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,
2020-Camry-XSE-XSE 4dr Sedan AWD (2.5L 4cyl 8A),8869,22,4779,73509,2020,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan AWD (2.5L 4cyl 8A),31405,28578,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8869,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,
2020-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 8A),8869,22,4779,73509,2020,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 8A),35130,31969,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8869,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,31,27,38,427,600,,,,,,,
2015-4Runner-Limited-Limited 4dr SUV (4.0L 6cyl 5A),23506,22,4841,65292,2015,Toyota,4Runner,,Limited,Limited,Limited 4dr SUV (4.0L 6cyl 5A),41585,38259,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23506,Limited 4dr SUV (4.0L 6cyl 5A),SUV,5,190.7,75.8,5,71.5,109.8,,,9.0,46.3,88.8,4525.0,6100.0,1575.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
2015-4Runner-Limited-Limited 4dr SUV 4WD (4.0L 6cyl 5A),23506,22,4841,65292,2015,Toyota,4Runner,,Limited,Limited,Limited 4dr SUV 4WD (4.0L 6cyl 5A),43620,40129,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23506,Limited 4dr SUV (4.0L 6cyl 5A),SUV,5,190.7,75.8,5,71.5,109.8,,,9.0,46.3,88.8,4525.0,6100.0,1575.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
2015-4Runner-SR5-SR5 4dr SUV (4.0L 6cyl 5A),23500,22,4841,65293,2015,Toyota,4Runner,,SR5,SR5,SR5 4dr SUV (4.0L 6cyl 5A),33210,30553,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
2015-4Runner-SR5-SR5 4dr SUV 4WD (4.0L 6cyl 5A),23500,22,4841,65293,2015,Toyota,4Runner,,SR5,SR5,SR5 4dr SUV 4WD (4.0L 6cyl 5A),35085,32279,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
2015-4Runner-SR5 Premium-SR5 Premium 4dr SUV (4.0L 6cyl 5A),23500,22,4841,65293,2015,Toyota,4Runner,,SR5,SR5,SR5 Premium 4dr SUV (4.0L 6cyl 5A),35950,33074,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
2015-4Runner-SR5 Premium-SR5 Premium 4dr SUV 4WD (4.0L 6cyl 5A),23500,22,4841,65293,2015,Toyota,4Runner,,SR5,SR5,SR5 Premium 4dr SUV 4WD (4.0L 6cyl 5A),37825,34799,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
2015-4Runner-Trail-Trail 4dr SUV 4WD (4.0L 6cyl 5A),23504,22,4841,65294,2015,Toyota,4Runner,,TRAIL,Trail,Trail 4dr SUV 4WD (4.0L 6cyl 5A),36115,33225,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23504,Trail 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,46.3,88.8,4750.0,6300.0,1550.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,
2015-4Runner-Trail Premium-Trail Premium 4dr SUV 4WD (4.0L 6cyl 5A),23504,22,4841,65294,2015,Toyota,4Runner,,TRAIL,Trail,Trail Premium 4dr SUV 4WD (4.0L 6cyl 5A),38855,35746,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23504,Trail 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,46.3,88.8,4750.0,6300.0,1550.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,
2015-4Runner-TRD PRO-TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),23508,22,4841,65295,2015,Toyota,4Runner,,TRD Pro,TRD PRO,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),41310,38004,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23508,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,,109.8,,,,47.2,89.7,,,,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,
2016-4Runner-Limited-Limited 4dr SUV (4.0L 6cyl 5A),20675,22,4841,66852,2016,Toyota,4Runner,,Limited,Limited,Limited 4dr SUV (4.0L 6cyl 5A),42325,38939,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20675,Limited 4dr SUV (4.0L 6cyl 5A),SUV,5,190.7,75.8,5,71.5,109.8,,,9.0,46.3,88.8,4525.0,6100.0,1575.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,
